Fragment Size,Count,Range,Group,BAM File
11800898,18,>1000,Plasma,C2-57-plasma.bam
54,17,100-200,Plasma,C2-57-plasma.bam
1029,17,>1000,Plasma,C2-57-plasma.bam
38,17,100-200,Plasma,C2-57-plasma.bam
42,16,100-200,Plasma,C2-57-plasma.bam
55,16,100-200,Plasma,C2-57-plasma.bam
52,16,100-200,Plasma,C2-57-plasma.bam
51,16,100-200,Plasma,C2-57-plasma.bam
470,15,200-500,Plasma,C2-57-plasma.bam
31538,15,>1000,Plasma,C2-57-plasma.bam
34,15,100-200,Plasma,C2-57-plasma.bam
69,15,100-200,Plasma,C2-57-plasma.bam
59,15,100-200,Plasma,C2-57-plasma.bam
11801035,15,>1000,Plasma,C2-57-plasma.bam
50,14,100-200,Plasma,C2-57-plasma.bam
309,14,200-500,Plasma,C2-57-plasma.bam
308,14,200-500,Plasma,C2-57-plasma.bam
33,14,100-200,Plasma,C2-57-plasma.bam
57,14,100-200,Plasma,C2-57-plasma.bam
31383,13,>1000,Plasma,C2-57-plasma.bam
32,13,100-200,Plasma,C2-57-plasma.bam
56,13,100-200,Plasma,C2-57-plasma.bam
2306647,12,>1000,Plasma,C2-57-plasma.bam
49,12,100-200,Plasma,C2-57-plasma.bam
11800862,12,>1000,Plasma,C2-57-plasma.bam
67,12,100-200,Plasma,C2-57-plasma.bam
43,12,100-200,Plasma,C2-57-plasma.bam
11800861,12,>1000,Plasma,C2-57-plasma.bam
1600020,12,>1000,Plasma,C2-57-plasma.bam
44,12,100-200,Plasma,C2-57-plasma.bam
47,12,100-200,Plasma,C2-57-plasma.bam
35,12,100-200,Plasma,C2-57-plasma.bam
13788,12,>1000,Plasma,C2-57-plasma.bam
494450,12,>1000,Plasma,C2-57-plasma.bam
377639,11,>1000,Plasma,C2-57-plasma.bam
11800892,11,>1000,Plasma,C2-57-plasma.bam
39,11,100-200,Plasma,C2-57-plasma.bam
73032,11,>1000,Plasma,C2-57-plasma.bam
4955235,11,>1000,Plasma,C2-57-plasma.bam
37,11,100-200,Plasma,C2-57-plasma.bam
2306651,11,>1000,Plasma,C2-57-plasma.bam
2306649,11,>1000,Plasma,C2-57-plasma.bam
490,11,200-500,Plasma,C2-57-plasma.bam
41,11,100-200,Plasma,C2-57-plasma.bam
304,10,200-500,Plasma,C2-57-plasma.bam
480,10,200-500,Plasma,C2-57-plasma.bam
11800853,10,>1000,Plasma,C2-57-plasma.bam
11801032,10,>1000,Plasma,C2-57-plasma.bam
311,10,200-500,Plasma,C2-57-plasma.bam
487,10,200-500,Plasma,C2-57-plasma.bam
312,10,200-500,Plasma,C2-57-plasma.bam
2306646,10,>1000,Plasma,C2-57-plasma.bam
11800884,10,>1000,Plasma,C2-57-plasma.bam
2306650,10,>1000,Plasma,C2-57-plasma.bam
479,9,200-500,Plasma,C2-57-plasma.bam
486,9,200-500,Plasma,C2-57-plasma.bam
46,9,100-200,Plasma,C2-57-plasma.bam
2306645,9,>1000,Plasma,C2-57-plasma.bam
2306641,9,>1000,Plasma,C2-57-plasma.bam
318,9,200-500,Plasma,C2-57-plasma.bam
305,9,200-500,Plasma,C2-57-plasma.bam
11800913,9,>1000,Plasma,C2-57-plasma.bam
11800868,9,>1000,Plasma,C2-57-plasma.bam
11800870,9,>1000,Plasma,C2-57-plasma.bam
11800894,9,>1000,Plasma,C2-57-plasma.bam
307,9,200-500,Plasma,C2-57-plasma.bam
300,9,200-500,Plasma,C2-57-plasma.bam
2306644,9,>1000,Plasma,C2-57-plasma.bam
2306640,9,>1000,Plasma,C2-57-plasma.bam
2306648,9,>1000,Plasma,C2-57-plasma.bam
272,9,200-500,Plasma,C2-57-plasma.bam
40,9,100-200,Plasma,C2-57-plasma.bam
471,8,200-500,Plasma,C2-57-plasma.bam
11808414,8,>1000,Plasma,C2-57-plasma.bam
2306643,8,>1000,Plasma,C2-57-plasma.bam
2306655,8,>1000,Plasma,C2-57-plasma.bam
11800906,8,>1000,Plasma,C2-57-plasma.bam
2306636,8,>1000,Plasma,C2-57-plasma.bam
11800863,8,>1000,Plasma,C2-57-plasma.bam
257,8,200-500,Plasma,C2-57-plasma.bam
510,8,500-1000,Plasma,C2-57-plasma.bam
314,8,200-500,Plasma,C2-57-plasma.bam
466,8,200-500,Plasma,C2-57-plasma.bam
27,8,100-200,Plasma,C2-57-plasma.bam
21,8,100-200,Plasma,C2-57-plasma.bam
494406,8,>1000,Plasma,C2-57-plasma.bam
250,8,200-500,Plasma,C2-57-plasma.bam
316,8,200-500,Plasma,C2-57-plasma.bam
2306637,8,>1000,Plasma,C2-57-plasma.bam
48,8,100-200,Plasma,C2-57-plasma.bam
26,8,100-200,Plasma,C2-57-plasma.bam
503,8,500-1000,Plasma,C2-57-plasma.bam
310,7,200-500,Plasma,C2-57-plasma.bam
2306634,7,>1000,Plasma,C2-57-plasma.bam
2,7,100-200,Plasma,C2-57-plasma.bam
315,7,200-500,Plasma,C2-57-plasma.bam
161303,7,>1000,Plasma,C2-57-plasma.bam
28684,7,>1000,Plasma,C2-57-plasma.bam
459,7,200-500,Plasma,C2-57-plasma.bam
501,7,500-1000,Plasma,C2-57-plasma.bam
36,7,100-200,Plasma,C2-57-plasma.bam
11800899,7,>1000,Plasma,C2-57-plasma.bam
482,7,200-500,Plasma,C2-57-plasma.bam
11800895,7,>1000,Plasma,C2-57-plasma.bam
483,7,200-500,Plasma,C2-57-plasma.bam
2306653,7,>1000,Plasma,C2-57-plasma.bam
11800893,7,>1000,Plasma,C2-57-plasma.bam
11800903,7,>1000,Plasma,C2-57-plasma.bam
2306631,7,>1000,Plasma,C2-57-plasma.bam
31,7,100-200,Plasma,C2-57-plasma.bam
113250,7,>1000,Plasma,C2-57-plasma.bam
490280,7,>1000,Plasma,C2-57-plasma.bam
302,7,200-500,Plasma,C2-57-plasma.bam
492,7,200-500,Plasma,C2-57-plasma.bam
472,7,200-500,Plasma,C2-57-plasma.bam
490278,7,>1000,Plasma,C2-57-plasma.bam
474,6,200-500,Plasma,C2-57-plasma.bam
4919137,6,>1000,Plasma,C2-57-plasma.bam
19,6,100-200,Plasma,C2-57-plasma.bam
256,6,200-500,Plasma,C2-57-plasma.bam
10,6,100-200,Plasma,C2-57-plasma.bam
336,6,200-500,Plasma,C2-57-plasma.bam
1174,6,>1000,Plasma,C2-57-plasma.bam
2306662,6,>1000,Plasma,C2-57-plasma.bam
1972,6,>1000,Plasma,C2-57-plasma.bam
113259,6,>1000,Plasma,C2-57-plasma.bam
266,6,200-500,Plasma,C2-57-plasma.bam
469,6,200-500,Plasma,C2-57-plasma.bam
253,6,200-500,Plasma,C2-57-plasma.bam
265,6,200-500,Plasma,C2-57-plasma.bam
497,6,200-500,Plasma,C2-57-plasma.bam
298,6,200-500,Plasma,C2-57-plasma.bam
365,6,200-500,Plasma,C2-57-plasma.bam
494,6,200-500,Plasma,C2-57-plasma.bam
11801034,6,>1000,Plasma,C2-57-plasma.bam
491,6,200-500,Plasma,C2-57-plasma.bam
3,6,100-200,Plasma,C2-57-plasma.bam
21516850,6,>1000,Plasma,C2-57-plasma.bam
465,6,200-500,Plasma,C2-57-plasma.bam
7795,6,>1000,Plasma,C2-57-plasma.bam
11800860,6,>1000,Plasma,C2-57-plasma.bam
11800889,6,>1000,Plasma,C2-57-plasma.bam
12978,6,>1000,Plasma,C2-57-plasma.bam
11800875,6,>1000,Plasma,C2-57-plasma.bam
273,6,200-500,Plasma,C2-57-plasma.bam
11800923,6,>1000,Plasma,C2-57-plasma.bam
113254,6,>1000,Plasma,C2-57-plasma.bam
489,6,200-500,Plasma,C2-57-plasma.bam
2306639,6,>1000,Plasma,C2-57-plasma.bam
269,6,200-500,Plasma,C2-57-plasma.bam
11800883,6,>1000,Plasma,C2-57-plasma.bam
3364002,6,>1000,Plasma,C2-57-plasma.bam
495056,6,>1000,Plasma,C2-57-plasma.bam
495100,6,>1000,Plasma,C2-57-plasma.bam
11800904,6,>1000,Plasma,C2-57-plasma.bam
254,6,200-500,Plasma,C2-57-plasma.bam
2306652,6,>1000,Plasma,C2-57-plasma.bam
473,6,200-500,Plasma,C2-57-plasma.bam
498,5,200-500,Plasma,C2-57-plasma.bam
455,5,200-500,Plasma,C2-57-plasma.bam
2306642,5,>1000,Plasma,C2-57-plasma.bam
2306633,5,>1000,Plasma,C2-57-plasma.bam
16,5,100-200,Plasma,C2-57-plasma.bam
25,5,100-200,Plasma,C2-57-plasma.bam
45529889,5,>1000,Plasma,C2-57-plasma.bam
11800909,5,>1000,Plasma,C2-57-plasma.bam
13,5,100-200,Plasma,C2-57-plasma.bam
2306623,5,>1000,Plasma,C2-57-plasma.bam
275,5,200-500,Plasma,C2-57-plasma.bam
11800871,5,>1000,Plasma,C2-57-plasma.bam
7,5,100-200,Plasma,C2-57-plasma.bam
11800925,5,>1000,Plasma,C2-57-plasma.bam
11800887,5,>1000,Plasma,C2-57-plasma.bam
11800873,5,>1000,Plasma,C2-57-plasma.bam
355,5,200-500,Plasma,C2-57-plasma.bam
353,5,200-500,Plasma,C2-57-plasma.bam
2306664,5,>1000,Plasma,C2-57-plasma.bam
13502,5,>1000,Plasma,C2-57-plasma.bam
270,5,200-500,Plasma,C2-57-plasma.bam
2306658,5,>1000,Plasma,C2-57-plasma.bam
